Anogam|LOC1273647	GO:0005737(PANTHER)|GO:0006511(InterPro)|GO:0007275(InterPro)|GO:0031624(PANTHER)|GO:0043161(PANTHER)|GO:0061630(PANTHER)
Anogam|LOC1279715	GO:0003677(PANTHER)|GO:0003712(PANTHER)|GO:0005634(PANTHER)|GO:0006355(PANTHER)|GO:0045893(InterPro)
Anoste|protein3825	GO:0005786(PANTHER)|GO:0006614(InterPro)|GO:0006617(PANTHER)|GO:0008312(InterPro)|GO:0008312(PANTHER)|GO:0048500(InterPro)
Anoalb|LOC118467417	-
Anoalb|LOC118457187	-
Anoara|LOC120898240	GO:0005737(PANTHER)|GO:0005911(PANTHER)|GO:0005925(PANTHER)|GO:0045216(PANTHER)|GO:0098609(PANTHER)|GO:1900026(PANTHER)|GO:2001046(PANTHER)
Anofun|LOC125772824	GO:0004029(InterPro)
Anoalb|LOC118456137	GO:0004930(PANTHER)|GO:0005886(PANTHER)
Anoalb|LOC118463101	GO:0000978(PANTHER)|GO:0003700(PANTHER)|GO:0005634(PANTHER)|GO:0005737(PANTHER)|GO:0006357(PANTHER)|GO:0010468(PANTHER)|GO:0045165(PANTHER)
Anoste|protein16502	GO:0044389(PANTHER)
Anoste|protein18219	GO:0015031(InterPro)
Anoalb|LOC118468410	-
Anoara|LOC120903421	GO:0005634(PANTHER)|GO:0016973(PANTHER)
Anoste|protein15537	-
Anoalb|LOC118459185	GO:0000124(InterPro)|GO:0003677(PANTHER)|GO:0005669(PANTHER)|GO:0005669(InterPro)|GO:0017025(PANTHER)|GO:0051123(PANTHER)
Anoste|protein5290	-
Anoste|protein6408	GO:0005783(PANTHER)|GO:0061024(PANTHER)|GO:0071786(PANTHER)
Anogam|LOC5666915	-
Anogam|LOC4577964	GO:0000785(PANTHER)|GO:0000978(PANTHER)|GO:0000981(PANTHER)|GO:0005667(PANTHER)|GO:0006357(PANTHER)
Anoste|protein4327	GO:0004222(PANTHER)|GO:0005739(PANTHER)|GO:0006627(PANTHER)
Anogam|LOC1281230	GO:0005737(PANTHER)|GO:0015031(PANTHER)
Anoste|protein13074	-
Anoalb|LOC118466056	GO:0000978(PANTHER)|GO:0000981(PANTHER)|GO:0005634(PANTHER)|GO:0006357(PANTHER)
Anoalb|LOC118461483	-
Anofun|LOC125764889	GO:0004252(PANTHER)|GO:0005615(PANTHER)|GO:0006508(PANTHER)
Anoalb|LOC118457018	GO:0000978(PANTHER)|GO:0000981(PANTHER)|GO:0005634(PANTHER)|GO:0006357(PANTHER)|GO:0009653(PANTHER)
Anoalb|LOC118465253	GO:0005525(InterPro)|GO:0007165(InterPro)|GO:0016020(InterPro)
Anofun|LOC125774968	GO:0005737(PANTHER)|GO:0005829(PANTHER)|GO:0005975(InterPro)|GO:0005986(PANTHER)|GO:0006000(PANTHER)|GO:0006002(PANTHER)|GO:0006094(PANTHER)|GO:0016791(InterPro)|GO:0030388(PANTHER)|GO:0042132(PANTHER)
Anoalb|LOC118459600	GO:0012505(PANTHER)|GO:0016020(PANTHER)|GO:0016020(InterPro)
Anogam|LOC5668000	-
Anogam|LOC133395039	-
Anoalb|LOC118458935	GO:0005739(InterPro)|GO:0005758(PANTHER)|GO:0006105(PANTHER)|GO:0034553(PANTHER)|GO:0034553(InterPro)
Anofun|LOC125770565	GO:0005737(PANTHER)
Anofun|LOC125767228	GO:0005739(PANTHER)|GO:0009107(InterPro)|GO:0009107(PANTHER)|GO:0016992(PANTHER)|GO:0016992(InterPro)|GO:0051539(InterPro)
Anoste|protein16561	-
Anoalb|LOC118463611	GO:0004674(PANTHER)|GO:0018105(PANTHER)|GO:0018107(PANTHER)
Anogam|LOC1269843	GO:0005634(PANTHER)|GO:0015630(PANTHER)|GO:0060271(PANTHER)|GO:0060294(InterPro)|GO:0060294(PANTHER)
Anoalb|LOC118463202	GO:0000785(PANTHER)|GO:0000978(InterPro)|GO:0000978(PANTHER)|GO:0000981(PANTHER)|GO:0001708(PANTHER)|GO:0003700(InterPro)|GO:0005634(PANTHER)|GO:0006355(InterPro)|GO:0006357(PANTHER)
Anogam|LOC4577473	-
Anoara|LOC120901255	GO:0005615(PANTHER)|GO:0007608(PANTHER)
Anogam|LOC1278466	GO:0000175(PANTHER)|GO:0000175(InterPro)|GO:0005739(PANTHER)
Anoste|protein4636	-
Anoara|LOC120903901	GO:0004139(InterPro)|GO:0004139(PANTHER)|GO:0005737(InterPro)|GO:0009264(PANTHER)|GO:0009264(InterPro)|GO:0016052(PANTHER)
Anofun|LOC125771413	-
Anofun|LOC125762829	-
Anogam|LOC1276201	GO:0005272(InterPro)|GO:0005886(PANTHER)|GO:0006814(InterPro)|GO:0015280(PANTHER)|GO:0016020(InterPro)|GO:0035725(PANTHER)
Anoara|LOC120897966	-
Anogam|LOC1272509	-
Anogam|LOC1280050	GO:0003810(PANTHER)|GO:0018149(PANTHER)
Anoalb|LOC118459203	-
Anoalb|LOC118467572	GO:0005525(InterPro)|GO:0005525(PANTHER)|GO:0005634(PANTHER)|GO:0005829(PANTHER)
Anoalb|LOC118457415	-
Anoalb|LOC118461034	GO:0006338(PANTHER)|GO:0016274(PANTHER)|GO:0016274(InterPro)|GO:0018216(InterPro)|GO:0019919(PANTHER)|GO:0034969(PANTHER)|GO:0042054(PANTHER)|GO:0070611(PANTHER)
Anoalb|LOC118468944	GO:0005783(PANTHER)|GO:0005795(PANTHER)|GO:0006886(PANTHER)|GO:0006888(PANTHER)|GO:0012507(PANTHER)|GO:0045056(PANTHER)|GO:0048193(InterPro)|GO:0048211(PANTHER)|GO:0061025(PANTHER)
Anofun|LOC125762157	-
Anofun|LOC125767788	GO:0000400(PANTHER)|GO:0009378(PANTHER)|GO:0036297(PANTHER)|GO:0043138(PANTHER)|GO:0045003(PANTHER)
Anoalb|LOC118459620	-
Anoste|protein9031	GO:0004662(PANTHER)|GO:0005953(PANTHER)|GO:0008318(InterPro)|GO:0018342(PANTHER)|GO:0018344(PANTHER)
Anoara|LOC120905575	GO:0004719(InterPro)|GO:0004719(PANTHER)|GO:0005737(PANTHER)|GO:0036211(InterPro)
Anogam|LOC1274962	GO:0003729(PANTHER)
Anoalb|LOC118468624	GO:0005654(PANTHER)|GO:0006355(InterPro)
Anoste|protein16122	GO:0005432(PANTHER)|GO:0015491(PANTHER)|GO:0016020(PANTHER)|GO:0030001(PANTHER)|GO:0030424(PANTHER)|GO:0035725(PANTHER)|GO:0042383(PANTHER)|GO:0098703(PANTHER)|GO:0098794(PANTHER)
Anoste|protein4925	GO:0003735(InterPro)|GO:0005840(InterPro)|GO:0006412(InterPro)
Anogam|LOC1280581	GO:0006631(PANTHER)|GO:0031956(PANTHER)
Anofun|LOC125768227	GO:0006508(PANTHER)|GO:0006508(InterPro)|GO:0008235(InterPro)
Anoalb|LOC118467726	GO:0001965(PANTHER)|GO:0005085(PANTHER)|GO:0005737(PANTHER)|GO:0007186(PANTHER)
Anogam|LOC1280516	GO:0000112(PANTHER)|GO:0005675(PANTHER)|GO:0006367(PANTHER)|GO:0043138(PANTHER)|GO:0097550(PANTHER)
Anoalb|LOC118466705	GO:0005886(PANTHER)|GO:0006887(PANTHER)|GO:0042043(PANTHER)|GO:0070382(PANTHER)
Anogam|LOC1281215	GO:0000027(PANTHER)|GO:0002181(PANTHER)|GO:0003723(PANTHER)|GO:0003735(PANTHER)|GO:0003735(InterPro)|GO:0005840(InterPro)|GO:0006412(InterPro)|GO:0022625(PANTHER)
Anoalb|LOC118466066	GO:0000139(PANTHER)|GO:0005462(PANTHER)|GO:0005464(PANTHER)|GO:0005789(PANTHER)|GO:0022857(PANTHER)|GO:0055085(InterPro)|GO:0055085(PANTHER)|GO:1990569(PANTHER)
Anoalb|LOC118464475	GO:0001727(PANTHER)|GO:0001729(PANTHER)|GO:0004143(PANTHER)|GO:0005737(PANTHER)|GO:0005739(PANTHER)|GO:0006665(PANTHER)|GO:0016020(PANTHER)|GO:0016310(PANTHER)|GO:0017050(PANTHER)|GO:0043231(PANTHER)|GO:0046512(PANTHER)|GO:0046513(PANTHER)|GO:0047620(PANTHER)
Anoalb|LOC118463295	-
Anoalb|LOC118461001	GO:0000902(PANTHER)|GO:0005912(PANTHER)|GO:0007043(PANTHER)|GO:0007275(PANTHER)|GO:0008013(PANTHER)|GO:0016339(PANTHER)|GO:0016342(PANTHER)|GO:0016477(PANTHER)|GO:0034332(PANTHER)|GO:0044331(PANTHER)|GO:0045296(PANTHER)|GO:0098609(InterPro)|GO:0098742(PANTHER)
Anofun|LOC125767264	GO:0035023(PANTHER)
Anoste|protein16455	-
Anoalb|LOC118464328	GO:0005615(PANTHER)
Anoalb|LOC118466410	GO:0004090(PANTHER)|GO:0005737(PANTHER)|GO:0016491(PANTHER)
Anoste|protein13506	GO:0005730(PANTHER)|GO:0006364(InterPro)|GO:0032040(InterPro)|GO:0032040(PANTHER)
Anoste|protein1631	-
Anoalb|LOC118469011	GO:0005739(PANTHER)|GO:0008444(PANTHER)|GO:0008444(InterPro)|GO:0032049(PANTHER)|GO:0032049(InterPro)
Anogam|LOC1279871	-
Anoalb|LOC118464403	GO:0005634(PANTHER)|GO:0005737(PANTHER)|GO:0031072(PANTHER)
Anoste|protein13771	GO:0005615(PANTHER)
Anogam|LOC4577125	GO:0000977(PANTHER)|GO:0000981(PANTHER)|GO:0005634(PANTHER)|GO:0006357(PANTHER)
Anogam|LOC1270979	GO:0005543(PANTHER)|GO:0005643(InterPro)|GO:0006405(PANTHER)|GO:0006606(PANTHER)|GO:0017056(InterPro)|GO:0017056(PANTHER)|GO:0044613(PANTHER)
Anogam|LOC5667343	-
Anoalb|LOC118458900	GO:0005737(PANTHER)
Anogam|LOC3291004	GO:0005829(PANTHER)
Anoste|protein4234	GO:0005747(PANTHER)|GO:0022904(PANTHER)|GO:0022904(InterPro)
Anoalb|LOC118464829	GO:0005634(PANTHER)
Anofun|LOC125761775	-
Anoste|protein17552	GO:0003723(PANTHER)|GO:0005686(PANTHER)|GO:0005730(PANTHER)|GO:0048026(PANTHER)|GO:0071011(PANTHER)
Anoalb|LOC118467445	-
Anoste|protein15068	-
Anogam|LOC133392711	GO:0005546(PANTHER)|GO:0005737(PANTHER)|GO:0008154(PANTHER)|GO:0015629(PANTHER)|GO:0051014(PANTHER)|GO:0051015(InterPro)|GO:0051015(PANTHER)|GO:0051016(PANTHER)
Anoalb|LOC118458297	GO:0005768(PANTHER)|GO:0032511(PANTHER)
Anoalb|LOC118465638	GO:0003713(PANTHER)|GO:0008134(PANTHER)|GO:0016592(PANTHER)|GO:0045944(PANTHER)
Anoalb|LOC118459490	-
Anoste|protein4172	-
Anoalb|LOC118465195	GO:0004930(PANTHER)|GO:0005886(PANTHER)|GO:0042277(PANTHER)|GO:0043005(PANTHER)
Anogam|LOC1274594	GO:0005615(PANTHER)|GO:0016042(PANTHER)|GO:0016298(InterPro)|GO:0016298(PANTHER)|GO:0017171(PANTHER)
Anogam|LOC1279318	GO:0005634(PANTHER)|GO:0030488(InterPro)|GO:0031515(InterPro)|GO:0031515(PANTHER)
Anoste|protein18384	GO:0007186(PANTHER)
Anoste|protein13432	GO:0005753(PANTHER)|GO:0015078(InterPro)|GO:0015986(InterPro)
Anoste|protein14022	GO:0005737(PANTHER)|GO:0005884(PANTHER)|GO:0032432(PANTHER)|GO:0051015(InterPro)|GO:0051015(PANTHER)|GO:0051017(PANTHER)|GO:0051017(InterPro)|GO:0051639(PANTHER)
Anoalb|LOC118460190	-
Anogam|LOC1267938	GO:0004867(InterPro)|GO:0005615(InterPro)|GO:0005615(PANTHER)
Anogam|LOC3291672	GO:0005737(PANTHER)|GO:0005886(PANTHER)|GO:0006897(PANTHER)|GO:0016197(PANTHER)
Anoalb|LOC118462836	GO:0005113(PANTHER)|GO:0005119(PANTHER)|GO:0005813(PANTHER)|GO:0005815(PANTHER)|GO:0005930(PANTHER)|GO:0034464(InterPro)|GO:0034464(PANTHER)|GO:0061512(PANTHER)|GO:1905515(InterPro)|GO:1905515(PANTHER)
Anoste|protein6881	-
Anofun|LOC125760789	GO:0000139(PANTHER)|GO:0005795(InterPro)|GO:0006487(PANTHER)|GO:0008455(PANTHER)|GO:0008455(InterPro)|GO:0009312(InterPro)|GO:0016020(InterPro)
Anofun|LOC125767175	GO:0000278(PANTHER)|GO:0003777(InterPro)|GO:0005874(PANTHER)|GO:0007018(PANTHER)|GO:0007018(InterPro)|GO:0008017(PANTHER)
Anogam|LOC1277930	GO:0000785(PANTHER)
Anogam|LOC1273507	GO:0005739(PANTHER)
Anoalb|LOC118456947	-
Anoara|LOC120900079	-
Anoalb|LOC118462738	GO:0005634(PANTHER)|GO:0006479(InterPro)|GO:0008276(InterPro)|GO:0008276(PANTHER)
Anoste|protein5996	GO:0036064(PANTHER)|GO:0060271(PANTHER)|GO:0061512(PANTHER)
Anogam|LOC1269802	GO:0005096(PANTHER)|GO:0005547(PANTHER)|GO:0005737(PANTHER)|GO:0005886(PANTHER)|GO:0043087(PANTHER)|GO:0043231(PANTHER)
Anogam|LOC1270350	GO:0004252(PANTHER)
Anogam|LOC1279803	GO:0008422(PANTHER)
Anogam|LOC133392915	GO:0005743(PANTHER)|GO:0033617(InterPro)|GO:0033617(PANTHER)
Anoste|protein15032	GO:0016020(PANTHER)
Anogam|LOC1269623	GO:0005576(PANTHER)
Anoste|protein6935	GO:0001540(PANTHER)|GO:0005794(PANTHER)|GO:0005886(PANTHER)|GO:0042985(PANTHER)|GO:0070062(PANTHER)
Anoste|protein16924	GO:0005737(PANTHER)|GO:0015031(PANTHER)
Anofun|LOC125767709	GO:0000398(PANTHER)|GO:0003723(PANTHER)|GO:0005688(PANTHER)|GO:0046540(PANTHER)|GO:1990726(PANTHER)
Anoste|protein8378	GO:0016409(InterPro)
Anoara|LOC120893471	-
Anoste|protein3560	-
Anoalb|LOC118465822	GO:0000977(PANTHER)|GO:0000981(PANTHER)|GO:0005634(PANTHER)|GO:0006357(PANTHER)
Anogam|LOC5668238	GO:0004620(PANTHER)|GO:0004767(InterPro)
Anoalb|LOC118465751	-
Anoste|protein2395	GO:0008080(InterPro)
Anoalb|LOC118463491	-
Anoste|protein5136	GO:0016020(PANTHER)|GO:1902936(PANTHER)
Anoste|protein13832	GO:0016311(PANTHER)|GO:0016791(PANTHER)
Anoste|protein3048	-
Anogam|LOC1279346	GO:0006623(InterPro)|GO:0032510(PANTHER)|GO:0035658(PANTHER)
Anoalb|LOC118465729	GO:0004714(PANTHER)|GO:0005886(PANTHER)|GO:0007169(PANTHER)|GO:0007275(PANTHER)|GO:0010976(PANTHER)|GO:0033674(PANTHER)|GO:0043235(PANTHER)|GO:0051897(PANTHER)
Anoste|protein16706	GO:0005770(PANTHER)|GO:0005794(PANTHER)|GO:0007034(PANTHER)|GO:0016197(PANTHER)|GO:1901096(PANTHER)
Anoste|protein12500	GO:0005739(PANTHER)|GO:0032981(PANTHER)
Anofun|LOC125763480	GO:0005874(InterPro)|GO:0007017(InterPro)
Anogam|LOC1273174	GO:0007409(PANTHER)|GO:0007417(PANTHER)|GO:0016020(InterPro)|GO:0043005(PANTHER)|GO:0043025(PANTHER)
Anoalb|LOC118460123	-
Anoalb|LOC118458610	GO:0005615(PANTHER)|GO:0032504(PANTHER)
Anoalb|LOC118456573	GO:0005272(InterPro)|GO:0005886(PANTHER)|GO:0006814(InterPro)|GO:0015280(PANTHER)|GO:0016020(InterPro)|GO:0035725(PANTHER)
Anoalb|LOC118461976	-
Anofun|LOC125769231	-
Anoalb|LOC118468599	GO:0005794(PANTHER)|GO:0005815(PANTHER)|GO:0005929(PANTHER)|GO:0030992(PANTHER)|GO:0042073(PANTHER)|GO:1905515(PANTHER)
Anogam|LOC1276997	GO:0004252(PANTHER)|GO:0006508(PANTHER)
Anoste|protein5601	GO:0006887(PANTHER)|GO:0030041(PANTHER)|GO:0071203(InterPro)|GO:0071203(PANTHER)
Anoara|LOC120897787	GO:0005229(PANTHER)|GO:0005886(PANTHER)|GO:0016020(InterPro)|GO:0072320(PANTHER)
Anoste|protein12974	GO:0003997(InterPro)|GO:0003997(PANTHER)|GO:0005504(PANTHER)|GO:0005777(PANTHER)|GO:0005777(InterPro)|GO:0006631(InterPro)|GO:0033540(PANTHER)|GO:0050660(PANTHER)|GO:0055088(PANTHER)|GO:0071949(InterPro)
Anoalb|LOC118468611	GO:0005245(PANTHER)|GO:0016247(PANTHER)|GO:0019226(PANTHER)|GO:0032281(PANTHER)|GO:0051968(PANTHER)|GO:0098839(PANTHER)|GO:0098943(PANTHER)|GO:0098970(PANTHER)|GO:0099590(PANTHER)|GO:2000311(PANTHER)
Anogam|LOC1274190	GO:0001405(PANTHER)|GO:0001671(PANTHER)|GO:0030150(PANTHER)
Anoara|LOC120895440	GO:0000900(PANTHER)|GO:0003730(PANTHER)|GO:0003730(InterPro)|GO:0005634(PANTHER)|GO:0005737(PANTHER)|GO:0006417(InterPro)|GO:0008135(PANTHER)|GO:0043005(PANTHER)|GO:0043022(PANTHER)|GO:0045182(InterPro)|GO:0045202(PANTHER)|GO:1990124(PANTHER)|GO:2000766(PANTHER)
Anoste|protein8412	GO:0007155(PANTHER)|GO:0007155(InterPro)|GO:0016020(InterPro)|GO:0042246(InterPro)
Anoara|LOC120897597	GO:0005737(PANTHER)
Anoalb|LOC118458178	GO:0022857(PANTHER)|GO:0034220(PANTHER)|GO:1902495(PANTHER)
Anoste|protein7046	GO:0005615(PANTHER)|GO:0016042(PANTHER)|GO:0016298(InterPro)|GO:0016298(PANTHER)|GO:0017171(PANTHER)
Anoste|protein7967	GO:0000978(PANTHER)|GO:0001228(PANTHER)|GO:0005634(PANTHER)|GO:0006357(PANTHER)
Anogam|LOC1273231	-
Anofun|LOC125768333	GO:0005829(PANTHER)|GO:0043066(PANTHER)|GO:0051491(PANTHER)
Anogam|LOC1272427	GO:0000978(PANTHER)|GO:0000981(PANTHER)|GO:0006357(PANTHER)
Anoalb|LOC118459359	GO:0005764(PANTHER)
Anoalb|LOC118466295	GO:0000978(PANTHER)|GO:0000981(PANTHER)|GO:0005634(PANTHER)|GO:0006357(PANTHER)
Anogam|LOC133394055	GO:0008146(PANTHER)|GO:0008146(InterPro)|GO:0016020(InterPro)|GO:0016051(InterPro)
Anoalb|LOC118465113	GO:0001725(PANTHER)|GO:0004674(PANTHER)|GO:0005925(PANTHER)|GO:0007160(PANTHER)|GO:0007229(PANTHER)|GO:0034446(PANTHER)
Anoalb|LOC118457194	GO:0007009(PANTHER)
Anogam|LOC1272505	-
Anogam|LOC1281213	GO:0005737(PANTHER)|GO:0006457(PANTHER)|GO:0031072(PANTHER)|GO:0050821(PANTHER)|GO:0051082(PANTHER)|GO:0051087(PANTHER)
Anogam|LOC1274961	-
Anogam|LOC5667260	GO:0005737(PANTHER)|GO:0006511(InterPro)|GO:0007275(InterPro)|GO:0031624(PANTHER)|GO:0043161(PANTHER)|GO:0061630(PANTHER)
Anoste|protein14467	GO:0004045(PANTHER)|GO:0004045(InterPro)|GO:0005829(PANTHER)
Anofun|LOC125764547	-
Anoste|protein15347	-
Anoste|protein2765	GO:0005484(PANTHER)|GO:0005783(PANTHER)|GO:0006890(PANTHER)|GO:0031201(PANTHER)
Anoalb|LOC118466050	GO:0004305(PANTHER)|GO:0005737(PANTHER)|GO:0006646(PANTHER)
Anoste|protein13955	GO:0005911(InterPro)|GO:0005912(PANTHER)|GO:0032880(PANTHER)|GO:0050839(PANTHER)
Anoste|protein8593	GO:0000981(PANTHER)|GO:0005634(PANTHER)|GO:0006357(PANTHER)|GO:0043565(PANTHER)
Anoara|LOC120895604	GO:0035097(PANTHER)|GO:0042800(PANTHER)|GO:0045893(PANTHER)
Anoalb|LOC118467754	GO:0005783(PANTHER)|GO:0036503(PANTHER)|GO:0043130(PANTHER)
Anoste|protein11062	-
Anogam|LOC1273529	-
Anogam|LOC1279946	GO:0000977(PANTHER)|GO:0000981(PANTHER)|GO:0005634(PANTHER)|GO:0006357(PANTHER)
Anoalb|LOC118462478	-
Anogam|LOC1281773	GO:0003887(PANTHER)|GO:0005634(PANTHER)|GO:0005657(PANTHER)|GO:0009314(PANTHER)|GO:0035861(PANTHER)|GO:0042276(PANTHER)
Anoalb|LOC118467415	GO:0034657(PANTHER)|GO:0043161(PANTHER)
Anoara|LOC120897532	-
Anoste|protein13787	GO:0001653(PANTHER)|GO:0004016(PANTHER)|GO:0004383(PANTHER)|GO:0005886(PANTHER)|GO:0006182(PANTHER)|GO:0007168(PANTHER)
Anoalb|LOC118459116	GO:0004601(PANTHER)
Anogam|LOC1277471	GO:0043529(PANTHER)|GO:0071816(PANTHER)
Anogam|LOC1275022	GO:0000111(PANTHER)|GO:0003684(PANTHER)|GO:0003684(InterPro)|GO:0003697(PANTHER)|GO:0005634(InterPro)|GO:0005737(PANTHER)|GO:0006289(PANTHER)|GO:0006289(InterPro)|GO:0006298(PANTHER)|GO:0071942(PANTHER)
Anoste|protein17047	GO:0000045(PANTHER)|GO:0000045(InterPro)|GO:0000421(PANTHER)|GO:0034045(PANTHER)|GO:0034274(PANTHER)|GO:0043495(PANTHER)
Anoalb|LOC118462985	GO:0071013(PANTHER)
Anogam|LOC1273406	GO:0016020(PANTHER)|GO:1902936(PANTHER)
Anogam|LOC1277253	GO:0004857(PANTHER)|GO:0005737(PANTHER)|GO:0019208(PANTHER)
Anoara|LOC120900498	-
Anoalb|LOC118462803	GO:0004842(PANTHER)|GO:0051865(PANTHER)
Anoste|protein11413	GO:0005283(PANTHER)|GO:0005886(PANTHER)|GO:0006865(PANTHER)|GO:0015179(PANTHER)|GO:0016020(InterPro)|GO:0035725(PANTHER)|GO:0071705(PANTHER)|GO:0089718(PANTHER)
Anoalb|LOC118459072	GO:0005783(PANTHER)|GO:0007029(PANTHER)
Anogam|LOC1277115	GO:0005737(PANTHER)
Anoara|LOC120907948	GO:0005739(PANTHER)|GO:0006099(PANTHER)|GO:0006102(PANTHER)
Anoste|protein15933	GO:0030687(PANTHER)|GO:0042273(PANTHER)
Anoara|LOC120904194	GO:0005634(PANTHER)|GO:0006357(PANTHER)
Anogam|LOC1279558	-
Anoara|LOC120896195	-
Anoara|LOC120897555	-
Anoara|LOC120906345	GO:0012505(PANTHER)|GO:0070072(InterPro)
Anogam|LOC3292089	-
Anofun|LOC125763899	GO:0004714(PANTHER)|GO:0005886(PANTHER)|GO:0007169(PANTHER)|GO:0007275(PANTHER)|GO:0033674(PANTHER)|GO:0043235(PANTHER)
Anogam|LOC1276757	GO:0004568(PANTHER)|GO:0005576(PANTHER)|GO:0006032(PANTHER)|GO:0008061(PANTHER)
Anoara|LOC120897335	GO:0019005(PANTHER)|GO:0031146(PANTHER)
Anoalb|LOC118463989	GO:0008010(PANTHER)|GO:0062129(PANTHER)
Anoalb|LOC118466795	GO:0008010(PANTHER)|GO:0062129(PANTHER)
Anofun|LOC125770356	-
Anoalb|LOC118459826	GO:0003729(PANTHER)|GO:0005847(PANTHER)|GO:0098789(PANTHER)
Anoste|protein10534	GO:0001664(PANTHER)|GO:0005085(PANTHER)|GO:0005737(PANTHER)|GO:0007186(PANTHER)
Anoste|protein14273	GO:0003697(InterPro)|GO:0003697(PANTHER)|GO:0006260(InterPro)|GO:0006264(PANTHER)|GO:0009295(PANTHER)|GO:0042645(PANTHER)|GO:0051096(PANTHER)
Anoalb|LOC118465419	GO:0004601(PANTHER)
Anogam|LOC1276834	GO:0016020(PANTHER)|GO:0034464(PANTHER)|GO:0034464(InterPro)|GO:0060271(PANTHER)
Anoste|protein8092	GO:0004419(PANTHER)|GO:0006552(PANTHER)|GO:0016833(InterPro)|GO:0046951(PANTHER)
Anogam|LOC1274799	GO:0016020(PANTHER)
Anoalb|LOC118460607	GO:0004467(PANTHER)|GO:0005783(PANTHER)|GO:0016020(PANTHER)
Anoalb|LOC118467078	GO:0001522(PANTHER)|GO:0001522(InterPro)|GO:0003723(InterPro)|GO:0005634(PANTHER)|GO:0009451(InterPro)|GO:0009982(InterPro)|GO:0009982(PANTHER)
Anogam|LOC1278792	-
Anoste|protein13985	GO:0000978(PANTHER)|GO:0000981(PANTHER)|GO:0005634(PANTHER)|GO:0006355(InterPro)|GO:0006357(PANTHER)
Anoalb|LOC118457086	GO:0030515(PANTHER)|GO:0032040(PANTHER)|GO:0034511(InterPro)
Anofun|LOC125768264	GO:0005886(PANTHER)|GO:0016020(PANTHER)|GO:0030659(PANTHER)
Anoste|protein17668	GO:0001676(PANTHER)|GO:0004467(PANTHER)|GO:0016405(PANTHER)|GO:0046949(PANTHER)
Anoste|protein2380	GO:0003796(PANTHER)
Anoalb|LOC118458152	GO:0007155(PANTHER)|GO:0007155(InterPro)|GO:0016020(InterPro)|GO:0042246(InterPro)
Anoste|protein4747	GO:0005272(InterPro)|GO:0005886(PANTHER)|GO:0006814(InterPro)|GO:0015280(PANTHER)|GO:0016020(InterPro)|GO:0035725(PANTHER)
Anoste|protein1193	-
Anofun|LOC125762555	GO:0005576(PANTHER)
Anoalb|LOC118460358	GO:0016020(PANTHER)
Anogam|LOC3291651	GO:0005634(PANTHER)|GO:0051726(PANTHER)
Anoalb|LOC118465544	GO:0005777(PANTHER)|GO:0035336(PANTHER)|GO:0043231(PANTHER)|GO:0080019(PANTHER)|GO:0080019(InterPro)
Anogam|LOC1276435	-
Anoalb|LOC118465854	GO:0019005(PANTHER)|GO:0031146(PANTHER)
Anoste|protein18005	GO:0005634(PANTHER)|GO:0005737(PANTHER)
Anoste|protein17240	GO:0000111(PANTHER)|GO:0003684(PANTHER)|GO:0003684(InterPro)|GO:0003697(PANTHER)|GO:0005634(InterPro)|GO:0005737(PANTHER)|GO:0006289(PANTHER)|GO:0006289(InterPro)|GO:0006298(PANTHER)|GO:0071942(PANTHER)
Anoalb|LOC118461504	GO:0042799(PANTHER)|GO:0045814(PANTHER)
Anoste|protein2304	-
Anoste|protein2003	GO:0005759(PANTHER)|GO:0008276(PANTHER)|GO:0016279(PANTHER)|GO:0018023(PANTHER)
Anoalb|LOC118465105	GO:0004714(PANTHER)|GO:0005886(PANTHER)|GO:0007169(PANTHER)|GO:0007275(PANTHER)|GO:0032006(PANTHER)|GO:0033674(PANTHER)|GO:0043235(PANTHER)
Anogam|LOC3291610	GO:0000398(InterPro)|GO:0005684(PANTHER)|GO:0008380(PANTHER)|GO:0071014(PANTHER)
Anofun|LOC125760940	-
Anoalb|LOC118464842	GO:0000082(PANTHER)|GO:0000307(PANTHER)|GO:0004674(PANTHER)|GO:0004693(PANTHER)|GO:0005634(PANTHER)|GO:0005737(PANTHER)|GO:0006468(PANTHER)|GO:0007165(PANTHER)|GO:0010033(PANTHER)|GO:0010389(PANTHER)|GO:0010468(PANTHER)|GO:0030332(PANTHER)
Anogam|LOC1280676	GO:0005758(PANTHER)|GO:0033617(PANTHER)
Anoara|LOC120897669	-
Anofun|LOC125763581	-
Anoste|protein5483	-
Anoalb|LOC118467327	GO:0005634(PANTHER)|GO:0010468(PANTHER)|GO:0043565(PANTHER)
Anogam|LOC1273018	GO:0004827(PANTHER)|GO:0004827(InterPro)|GO:0005524(InterPro)|GO:0005737(PANTHER)|GO:0005737(InterPro)|GO:0006433(PANTHER)|GO:0006433(InterPro)|GO:0017101(PANTHER)
Anoste|protein1723	-
Anofun|LOC125762788	-
Anoalb|LOC118460215	GO:0032039(PANTHER)|GO:0034472(PANTHER)
Anoalb|LOC118461282	GO:0004930(PANTHER)|GO:0005886(PANTHER)
Anogam|LOC1281315	GO:0000149(PANTHER)|GO:0001786(PANTHER)|GO:0005509(PANTHER)|GO:0005544(PANTHER)|GO:0005886(PANTHER)|GO:0006906(PANTHER)|GO:0017156(PANTHER)|GO:0030276(PANTHER)|GO:0030424(PANTHER)|GO:0045202(PANTHER)|GO:0048791(PANTHER)|GO:0070382(PANTHER)
